row_id,treatment,conversion,predicted_treatment_conversion,predicted_control_conversion,uplift_score,uplift_decile
6340124,0,1,0.64383715,0.44469863,0.19913852,1
4488117,1,1,0.6944376,0.4963593,0.19807833,1
9373760,1,1,0.5108288,0.31285793,0.19797087,1
5154657,1,1,0.57467407,0.376768,0.19790608,1
3505143,1,0,0.44520798,0.24749361,0.19771437,1
648058,1,0,0.66696423,0.4695496,0.19741464,1
4759530,1,0,0.41401222,0.21810387,0.19590835,1
5748175,0,0,0.6280097,0.43297628,0.1950334,1
6263242,0,1,0.6541738,0.45970315,0.19447064,1
3173857,1,0,0.5297829,0.33551753,0.19426537,1
4083839,1,1,0.42296508,0.22876117,0.19420391,1
704235,1,0,0.56439126,0.37060627,0.19378498,1
4317946,1,1,0.4350588,0.24221045,0.19284835,1
1876634,1,1,0.49119136,0.29905042,0.19214094,1
3503770,1,1,0.56795675,0.3766349,0.19132185,1
2866991,1,1,0.5878396,0.39669088,0.19114873,1
4181524,1,0,0.6644644,0.4734145,0.1910499,1
5765491,0,0,0.52871674,0.33771282,0.19100392,1
1121716,1,0,0.50769365,0.31679556,0.19089809,1
3720557,1,0,0.7363729,0.5455994,0.19077349,1
2942365,1,0,0.6263761,0.43618098,0.19019511,1
437834,1,1,0.6113694,0.42119208,0.19017729,1
1664726,1,1,0.40942678,0.22042792,0.18899886,1
3145672,1,1,0.7735167,0.5847571,0.18875962,1
1902907,1,1,0.53167,0.3430008,0.18866917,1
2156867,1,1,0.39753827,0.20903525,0.18850303,1
2312581,1,1,0.4144853,0.22624737,0.18823794,1
1754553,1,1,0.47993824,0.29189306,0.18804517,1
6456819,0,0,0.53656083,0.34857315,0.18798769,1
3051548,1,1,0.5035785,0.3167622,0.18681628,1
4604420,1,1,0.5123054,0.3263746,0.18593079,1
4412390,1,0,0.46069676,0.2747953,0.18590146,1
428780,1,0,0.5634582,0.37759894,0.18585926,1
680188,1,0,0.50493,0.31910586,0.18582416,1
1927244,1,1,0.608998,0.42324907,0.18574893,1
4873332,1,1,0.60857373,0.4229886,0.18558514,1
454853,1,1,0.6714853,0.48606685,0.18541846,1
903669,1,0,0.361411,0.17621103,0.18519998,1
6382661,0,0,0.6692174,0.4841119,0.1851055,1
2493052,1,1,0.6414608,0.45675895,0.18470183,1
3500492,1,0,0.5275749,0.34315124,0.18442366,1
7901954,1,0,0.47419208,0.28980744,0.18438464,1
4789364,1,1,0.60817385,0.42409962,0.18407422,1
720361,1,0,0.5940883,0.4101484,0.1839399,1
4518662,1,0,0.56800437,0.38415083,0.18385354,1
2972333,1,0,0.62044096,0.43677872,0.18366224,1
574642,1,0,0.54720306,0.36392766,0.1832754,1
4499699,1,0,0.46246794,0.27937025,0.18309769,1
1782668,1,0,0.55509245,0.37222457,0.18286788,1
5878111,0,0,0.5022162,0.31941393,0.18280229,1
5271045,1,1,0.5809448,0.39841834,0.18252644,1
2968275,1,1,0.46874976,0.28677464,0.18197513,1
1665855,1,0,0.59657353,0.41462472,0.18194881,1
3902997,1,0,0.47443345,0.29257232,0.18186113,1
2312532,1,0,0.4877294,0.3059496,0.1817798,1
1334149,1,0,0.55056876,0.36909088,0.18147787,1
5992142,0,0,0.48341712,0.3023766,0.18104053,1
2139350,1,0,0.50961125,0.3286702,0.18094105,1
6238232,0,0,0.46151584,0.28062427,0.18089157,1
1178710,1,0,0.7178747,0.5371943,0.1806804,1
